,referencing,referenced,total_refs,direct_ref
341,51712091e5cc2f703e852b3c07bae970d7cdefe4,601273c37a9670f00234f7e7092bb673e7c0b25c,6,False
342,51712091e5cc2f703e852b3c07bae970d7cdefe4,1efc86d78b94931fefdfd47614299f6c6c17980e,7,False
343,51712091e5cc2f703e852b3c07bae970d7cdefe4,d59780c129598857dd7ba888be017446a1849861,5,False
346,532b585edb31f3843c90ff5c26a4e286ac248cf7,4332bf95aa520b515b6de4e50f47e988e45bccd6,4,False
348,532b585edb31f3843c90ff5c26a4e286ac248cf7,8b0a4d41ee469547163ea154ad2b522d6d335671,8,False
353,532b585edb31f3843c90ff5c26a4e286ac248cf7,1c5a74d5124a5ca91986f8991a924b53e523e08c,4,False
354,532b585edb31f3843c90ff5c26a4e286ac248cf7,4f5769d9fac7e94afedd86eb0967b1977a5e8626,10,False
356,532b585edb31f3843c90ff5c26a4e286ac248cf7,95a6c00a852b56783e9aba6a1c36381e6b643f7c,4,False
358,532b585edb31f3843c90ff5c26a4e286ac248cf7,f3747d72af6c12c49e1fec4ba8fe65bcd9d25d05,4,False
359,532b585edb31f3843c90ff5c26a4e286ac248cf7,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,False
360,532b585edb31f3843c90ff5c26a4e286ac248cf7,cea4fb5e46aee36ff77ac5d4f0014cd8cb1bee30,9,False
361,532b585edb31f3843c90ff5c26a4e286ac248cf7,7066f00d534a6503931372bb9caeec68bbc7d8a9,8,False
366,2ac7512497a2289f7fc543d39eb5eec7d48468a9,8b0a4d41ee469547163ea154ad2b522d6d335671,8,False
370,2ac7512497a2289f7fc543d39eb5eec7d48468a9,4f2f078bcabca17203f98842c5e7912d63f451ab,4,False
374,2ac7512497a2289f7fc543d39eb5eec7d48468a9,c7884360037cb59d27ec25f8a3f00f2d95509066,6,False
375,2ac7512497a2289f7fc543d39eb5eec7d48468a9,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,False
381,2ac7512497a2289f7fc543d39eb5eec7d48468a9,9b536c7b0f45d4b512f337d0acda09ca3e4cd953,4,False
390,2ac7512497a2289f7fc543d39eb5eec7d48468a9,4f5769d9fac7e94afedd86eb0967b1977a5e8626,10,False
400,2ac7512497a2289f7fc543d39eb5eec7d48468a9,f5da5560d924b846c4035ad4112c32d1ad704819,8,False
411,2ac7512497a2289f7fc543d39eb5eec7d48468a9,5fc98a7f6de4fa4fb989951c0cce7008b5e44f80,4,False
412,2ac7512497a2289f7fc543d39eb5eec7d48468a9,03a749ef23b6dc5ca4111407f001904976e3d2d7,4,False
415,2ac7512497a2289f7fc543d39eb5eec7d48468a9,b689d344502419f656d482bd186a5ee6b0140891,7,False
416,2ac7512497a2289f7fc543d39eb5eec7d48468a9,d7a3efa99a71c3341552de3eb0db078dac368fd5,5,False
417,2ac7512497a2289f7fc543d39eb5eec7d48468a9,6741f91a5b72c7adc706bd629bc9323a6971259f,6,False
421,2ac7512497a2289f7fc543d39eb5eec7d48468a9,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,False
422,2ac7512497a2289f7fc543d39eb5eec7d48468a9,64e5f6d3996671a3c23ececf838b8976a078a50c,8,False
426,2ac7512497a2289f7fc543d39eb5eec7d48468a9,4c940c7726ddd513e95d808442a77396d71e9f07,8,False
427,2ac7512497a2289f7fc543d39eb5eec7d48468a9,f8cdc12946a1c7ce157eeba4ae899907ebad7095,4,False
438,2ac7512497a2289f7fc543d39eb5eec7d48468a9,a3406105eb51f858bcaa6906fcdf6a58cfc95176,5,False
441,2ac7512497a2289f7fc543d39eb5eec7d48468a9,315900b898f47295550a0edaf9ed8b4e5243ed6c,4,False
443,2ac7512497a2289f7fc543d39eb5eec7d48468a9,88779104d045f4f319d17184368ee12431a0ce82,5,False
510,fd9e48c5cd04fec2823d99ef06c462985d3b2eb7,1bb49c3de3b09c196879fd57fc10daec33ad129b,4,False
523,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,689bfbdfda79e347815c3d2f9c0b80e16ff49cf5,4,False
525,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,155a9d63259f34942860f0393a306070d9664442,5,False
526,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,8b0a4d41ee469547163ea154ad2b522d6d335671,8,False
527,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,4f2f078bcabca17203f98842c5e7912d63f451ab,4,False
528,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,eb164d4c1bd95012bc66831a4319d98197737334,6,False
530,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,a4c8b73f5add658a08562e920ed458f96d105179,5,False
531,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,894d1a656c40c75c868b5cdf9e477e93a33d350f,4,False
532,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,5b682fc17f58f16893072f8cb7fdb70f0d7378fb,5,False
533,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,c7884360037cb59d27ec25f8a3f00f2d95509066,6,False
535,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,15b74acde54afc09f8401ef1d660380c2db2a7e3,5,False
540,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,272dba88f6f7d2f6ad6076d5d6db0315a572b9d9,5,False
542,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,6741f91a5b72c7adc706bd629bc9323a6971259f,6,False
544,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,False
547,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,64e5f6d3996671a3c23ececf838b8976a078a50c,8,False
549,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,4c940c7726ddd513e95d808442a77396d71e9f07,8,False
550,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,33052126780794407eae74479c0c0de053921434,7,False
551,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,53f7e55e05999c34610e8d26227ba64c08a0f4ff,14,False
552,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,a3406105eb51f858bcaa6906fcdf6a58cfc95176,5,False
559,e7a922049a9bf54a0b13cd1d475a58e36c7c9b3e,601273c37a9670f00234f7e7092bb673e7c0b25c,6,False
599,4a01cfe2c5b312ad8bcd791513056b2bcbc84549,1bb49c3de3b09c196879fd57fc10daec33ad129b,4,False
622,4332bf95aa520b515b6de4e50f47e988e45bccd6,8b0a4d41ee469547163ea154ad2b522d6d335671,8,False
623,4332bf95aa520b515b6de4e50f47e988e45bccd6,341ea24cc5456da43c0c0b8d1a6e362b31815d8f,4,False
624,4332bf95aa520b515b6de4e50f47e988e45bccd6,3c0e5eb7e999d9587875b74f2bde665bca57fec2,4,False
627,4332bf95aa520b515b6de4e50f47e988e45bccd6,eb164d4c1bd95012bc66831a4319d98197737334,6,False
630,4332bf95aa520b515b6de4e50f47e988e45bccd6,5b682fc17f58f16893072f8cb7fdb70f0d7378fb,5,False
631,4332bf95aa520b515b6de4e50f47e988e45bccd6,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,False
633,4332bf95aa520b515b6de4e50f47e988e45bccd6,15b74acde54afc09f8401ef1d660380c2db2a7e3,5,False
637,4332bf95aa520b515b6de4e50f47e988e45bccd6,4f5769d9fac7e94afedd86eb0967b1977a5e8626,10,False
642,4332bf95aa520b515b6de4e50f47e988e45bccd6,95a6c00a852b56783e9aba6a1c36381e6b643f7c,4,False
644,4332bf95aa520b515b6de4e50f47e988e45bccd6,f5da5560d924b846c4035ad4112c32d1ad704819,8,False
645,4332bf95aa520b515b6de4e50f47e988e45bccd6,6eed89627a55044632728daca81da33384bd5e15,4,False
652,4332bf95aa520b515b6de4e50f47e988e45bccd6,a68ec9a74fdae7dae859e27fb711bc3c335a0d86,6,False
655,4332bf95aa520b515b6de4e50f47e988e45bccd6,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,False
658,4332bf95aa520b515b6de4e50f47e988e45bccd6,4c940c7726ddd513e95d808442a77396d71e9f07,8,False
660,4332bf95aa520b515b6de4e50f47e988e45bccd6,53f7e55e05999c34610e8d26227ba64c08a0f4ff,14,False
663,4332bf95aa520b515b6de4e50f47e988e45bccd6,bbcc99adeda18aa336a3a78cadb0d13b9f98aa99,4,False
665,4332bf95aa520b515b6de4e50f47e988e45bccd6,148316b20fabdda8f3d0795c07ebb12986dd59da,8,False
672,4332bf95aa520b515b6de4e50f47e988e45bccd6,8fc6944d105536a4633f286737ecd3949181d731,8,False
677,155a9d63259f34942860f0393a306070d9664442,4f2f078bcabca17203f98842c5e7912d63f451ab,4,False
678,155a9d63259f34942860f0393a306070d9664442,5b682fc17f58f16893072f8cb7fdb70f0d7378fb,5,False
679,155a9d63259f34942860f0393a306070d9664442,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,False
681,155a9d63259f34942860f0393a306070d9664442,15b74acde54afc09f8401ef1d660380c2db2a7e3,5,False
684,155a9d63259f34942860f0393a306070d9664442,1ebd8d2863b23a90a36985f9a25c5d431e39612c,19,False
694,030938cd7880fd9290b90f997e78937a87383c94,9b536c7b0f45d4b512f337d0acda09ca3e4cd953,4,False
711,030938cd7880fd9290b90f997e78937a87383c94,ab73e70e7421d3aff7e8e6e01e32e486a0326d13,4,False
717,8b0a4d41ee469547163ea154ad2b522d6d335671,eb164d4c1bd95012bc66831a4319d98197737334,6,False
719,8b0a4d41ee469547163ea154ad2b522d6d335671,a4c8b73f5add658a08562e920ed458f96d105179,5,False
723,8b0a4d41ee469547163ea154ad2b522d6d335671,c7884360037cb59d27ec25f8a3f00f2d95509066,6,False
724,8b0a4d41ee469547163ea154ad2b522d6d335671,c0d7e39bc35f2cc22ba27a2f1f749a8f0212bcdf,10,False
726,8b0a4d41ee469547163ea154ad2b522d6d335671,9b536c7b0f45d4b512f337d0acda09ca3e4cd953,4,False
