,referencing,referenced,total_refs,direct_ref
164,5e07da2914783a21980ecc1cea688d1333e6b6e4,329705a255360c8f86a10d909a92794ed8a0857a,5,False
165,5e07da2914783a21980ecc1cea688d1333e6b6e4,8570302f7b63e8fcf87030f556b065fd8c260021,1,False
166,5e07da2914783a21980ecc1cea688d1333e6b6e4,3bf6af7c8b42a205e4c9efd247317f7c2105a7bc,2,False
167,5e07da2914783a21980ecc1cea688d1333e6b6e4,51213d2d948939a554cdc37382dfc510e54e0fb1,1,False
168,5e07da2914783a21980ecc1cea688d1333e6b6e4,fc7794d1f58fa27609e0d6115a326b553b8da72f,1,False
169,5e07da2914783a21980ecc1cea688d1333e6b6e4,641a9d87b9636d4ef2e353a569ddede68bd29131,4,False
170,5e07da2914783a21980ecc1cea688d1333e6b6e4,eb96fc97bbae7b5653173293438e2f4682affd34,2,False
171,5e07da2914783a21980ecc1cea688d1333e6b6e4,68cd87dc4e11543bd3d3aa05aae547cddcb3756b,6,False
172,5e07da2914783a21980ecc1cea688d1333e6b6e4,8fcbc38e7196b0dc8748f04cd6101e71f92c158e,8,False
173,5e07da2914783a21980ecc1cea688d1333e6b6e4,775dc4bdfb51541acbeced051d2bd8ce0840367c,1,False
174,5e07da2914783a21980ecc1cea688d1333e6b6e4,3500d8d44c28c316970d857b665fb42b100049c7,3,False
175,5e07da2914783a21980ecc1cea688d1333e6b6e4,870138cbd639721270ccf1c360bad5f6d72f9a4a,4,False
176,5e07da2914783a21980ecc1cea688d1333e6b6e4,03b7e51c52084ac1db5118342a00b5fbcfc587aa,3,False
177,5e07da2914783a21980ecc1cea688d1333e6b6e4,7708178d34d069b58a88ea4eb13aa1f57d87bedb,3,False
178,5e07da2914783a21980ecc1cea688d1333e6b6e4,0473a64f61a47be428b05a42c590e78da86c18d5,2,False
179,5e07da2914783a21980ecc1cea688d1333e6b6e4,5042cb5efad30f443adef472b8748e1b7bb0452f,8,False
180,5e07da2914783a21980ecc1cea688d1333e6b6e4,55b96d6dc407b03a6cb749a10be0768569910fa1,2,False
181,5e07da2914783a21980ecc1cea688d1333e6b6e4,13ee1b2e6757d29aa5b3f19c40d57163ac82d952,2,False
182,5e07da2914783a21980ecc1cea688d1333e6b6e4,c0f6c7498bd342c9a97510ce45486ace3cf39521,1,False
183,5e07da2914783a21980ecc1cea688d1333e6b6e4,7cf137c73fbf3febc37570b2f74d1e034672a5db,5,False
184,5e07da2914783a21980ecc1cea688d1333e6b6e4,d3d46afaee8a0f17b405d2f278c14c81802c2be5,3,False
185,5e07da2914783a21980ecc1cea688d1333e6b6e4,e78732596ad607df03871dcaf6beaf727bef6ddb,1,False
186,5e07da2914783a21980ecc1cea688d1333e6b6e4,37556a6b6043c3cdd61c4d5744127acd3883190b,1,False
